sep=,
"ID","Title","Created By","Created On","Estimate","Expected Result","Forecast","Preconditions","Priority","References","Section","Section Depth","Section Description","Steps (Expected Result)","Steps (Step)","Suite","Suite ID","Template","Type","Updated By","Updated On"
"C10","Export Levy","Ali Pala","9/2/2019 8:08 PM","","","","","Medium","","Test Cases","0","","","","Master","S1","Test Case (Text)","Other","Ali Pala","9/2/2019 8:08 PM"
"C11","Discard Levy without Saving","Ali Pala","9/2/2019 8:08 PM","","","","","Medium","","Test Cases","0","","","","Master","S1","Test Case (Text)","Other","Ali Pala","9/2/2019 8:09 PM"
"C13","Add Expense","Ali Pala","9/2/2019 8:12 PM","","","","","Medium","","Test Cases","0","","","","Master","S1","Test Case (Text)","Other","Ali Pala","9/2/2019 8:12 PM"
"C14","Add Remainder","Ali Pala","9/2/2019 8:13 PM","","","","","Medium","","Test Cases","0","","","","Master","S1","Test Case (Text)","Other","Ali Pala","9/2/2019 8:13 PM"
"C15","Filter Expense Record","Ali Pala","9/2/2019 8:14 PM","","","","","Medium","","Test Cases","0","","","","Master","S1","Test Case (Text)","Other","Ali Pala","9/2/2019 8:14 PM"
"C16","Pagination Expense Records","Ali Pala","9/2/2019 8:14 PM","","","","","Medium","","Test Cases","0","","","","Master","S1","Test Case (Text)","Other","Ali Pala","9/2/2019 8:14 PM"
"C17","Filter Calendar - Genel","Ali Pala","9/2/2019 8:22 PM","","","","","Medium","","Test Cases","0","","","","Master","S1","Test Case (Text)","Other","Ali Pala","9/2/2019 8:22 PM"
"C18","Filter Calendar - Duruşma Günü","Ali Pala","9/2/2019 8:22 PM","","","","","Medium","","Test Cases","0","","","","Master","S1","Test Case (Text)","Other","Ali Pala","9/2/2019 8:22 PM"
"C19","Filter Calendar - Yapılacak İşler","Ali Pala","9/2/2019 8:23 PM","","","","","Medium","","Test Cases","0","","","","Master","S1","Test Case (Text)","Other","Ali Pala","9/2/2019 8:23 PM"
"C20","Filter Calendar - İzinler","Ali Pala","9/2/2019 8:23 PM","","","","","Medium","","Test Cases","0","","","","Master","S1","Test Case (Text)","Other","Ali Pala","9/2/2019 8:23 PM"
"C21","Add New Calendar Event","Ali Pala","9/2/2019 8:23 PM","","","","","Medium","","Test Cases","0","","","","Master","S1","Test Case (Text)","Other","Ali Pala","9/2/2019 8:23 PM"
"C22","Discard New Calendat Event","Ali Pala","9/2/2019 8:23 PM","","","","","Medium","","Test Cases","0","","","","Master","S1","Test Case (Text)","Other","Ali Pala","9/2/2019 8:23 PM"
"C23","Filter Calendar by User","Ali Pala","9/2/2019 8:24 PM","","","","","Medium","","Test Cases","0","","","","Master","S1","Test Case (Text)","Other","Ali Pala","9/2/2019 8:24 PM"
